,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
291,Normal,NaN,None,NaN,999,999,high,No Target,None
292,Normal,NaN,None,NaN,999,999,high,No Target,None
293,Normal,NaN,None,NaN,999,999,high,No Target,None
294,Normal,NaN,None,NaN,999,999,high,No Target,None
295,Normal,NaN,None,NaN,999,999,high,No Target,None
296,Critical,NaN,0.155,0.473,999,1,high,No Target,tone3
297,Normal,NaN,None,NaN,999,999,high,No Target,None
298,Normal,NaN,None,NaN,999,999,high,No Target,None
299,Normal,NaN,None,NaN,999,999,high,No Target,None
300,Normal,NaN,None,NaN,999,999,low,No Target,None
301,Normal,NaN,None,NaN,999,999,low,No Target,None
302,Normal,NaN,None,NaN,999,999,low,No Target,None
303,Normal,NaN,None,NaN,999,999,low,No Target,None
304,Normal,NaN,None,NaN,999,999,low,No Target,None
305,Normal,NaN,None,NaN,999,999,low,No Target,None
306,Normal,NaN,None,NaN,999,999,low,No Target,None
307,Normal,NaN,None,NaN,999,999,low,No Target,None
308,Normal,NaN,None,NaN,999,999,low,No Target,None
309,Normal,NaN,None,NaN,999,999,low,No Target,None
310,Critical,NaN,0.81,0.5089999999999999,999,1,low,No Target,tone2
311,Normal,NaN,None,NaN,999,999,low,No Target,None
312,Normal,NaN,None,NaN,999,999,low,No Target,None
313,Critical,NaN,0.474,1.1102236842105262,999,1,low,No Target,tone4
314,Normal,NaN,None,NaN,999,999,low,No Target,None
315,Normal,NaN,None,NaN,999,999,low,No Target,None
316,Normal,2.038,None,NaN,0,999,low,Target Absent,None
317,Normal,NaN,None,NaN,999,999,low,No Target,None
318,Normal,NaN,None,NaN,999,999,low,No Target,None
319,Normal,NaN,None,NaN,999,999,low,No Target,None
320,Normal,1.0379999999999998,None,NaN,1,999,low,Target Present,None
321,Normal,NaN,None,NaN,999,999,low,No Target,None
322,Normal,NaN,None,NaN,999,999,low,No Target,None
323,Normal,0.784,None,NaN,1,999,low,Target Present,None
324,Normal,NaN,None,NaN,999,999,low,No Target,None
325,Normal,NaN,None,NaN,999,999,low,No Target,None
326,Normal,NaN,None,NaN,999,999,low,No Target,None
327,Normal,NaN,None,NaN,999,999,low,No Target,None
328,Critical,NaN,0.364,0.628,999,1,low,No Target,tone2
329,Normal,NaN,None,NaN,999,999,low,No Target,None
330,Normal,NaN,None,NaN,999,999,low,No Target,None
331,Critical,NaN,0.583,0.506,999,1,low,No Target,tone3
332,Normal,NaN,None,NaN,999,999,low,No Target,None
333,Normal,NaN,None,NaN,999,999,low,No Target,None
334,Critical,NaN,0.846,0.469,999,1,low,No Target,tone3
335,Normal,NaN,None,NaN,999,999,low,No Target,None
336,Normal,NaN,None,NaN,999,999,low,No Target,None
337,Normal,1.584,None,NaN,1,999,low,Target Present,None
338,Normal,NaN,None,NaN,999,999,low,No Target,None
339,Normal,NaN,None,NaN,999,999,low,No Target,None
340,Normal,NaN,None,NaN,999,999,low,No Target,None
341,Normal,1.5859999999999999,None,NaN,1,999,low,Target Absent,None
342,Normal,NaN,None,NaN,999,999,low,No Target,None
343,Normal,NaN,None,NaN,999,999,low,No Target,None
344,Normal,NaN,None,NaN,999,999,low,No Target,None
345,Normal,NaN,None,NaN,999,999,low,No Target,None
346,Critical,NaN,0.555,0.549,999,1,low,No Target,tone2
347,Normal,NaN,None,NaN,999,999,low,No Target,None
348,Normal,NaN,None,NaN,999,999,low,No Target,None
349,Critical,NaN,0.362,0.554,999,1,low,No Target,tone3
350,Normal,NaN,None,NaN,999,999,low,No Target,None
351,Normal,NaN,None,NaN,999,999,low,No Target,None
352,Normal,0.9430000000000001,None,NaN,1,999,low,Target Absent,None
353,Normal,NaN,None,NaN,999,999,low,No Target,None
354,Normal,NaN,None,NaN,999,999,low,No Target,None
355,Critical,NaN,0.627,0.6639999999999999,999,1,low,No Target,tone2
356,Normal,NaN,None,NaN,999,999,low,No Target,None
357,Normal,NaN,None,NaN,999,999,low,No Target,None
358,Normal,NaN,None,NaN,999,999,low,No Target,None
359,Critical,NaN,0.584,NaN,999,0,low,No Target,tone4
360,Normal,0.9299999999999999,None,NaN,1,999,low,Target Absent,None
361,Normal,NaN,None,NaN,999,999,low,No Target,None
362,Normal,NaN,None,NaN,999,999,low,No Target,None
363,Critical,NaN,0.928,0.35,999,1,low,No Target,tone1
364,Normal,NaN,None,NaN,999,999,low,No Target,None
365,Normal,NaN,None,NaN,999,999,low,No Target,None
366,Normal,NaN,None,NaN,999,999,low,No Target,None
367,Normal,NaN,None,NaN,999,999,low,No Target,None
368,Critical,NaN,0.71,0.3900000000000001,999,1,low,No Target,tone3
369,Normal,NaN,None,NaN,999,999,low,No Target,None
370,Normal,NaN,None,NaN,999,999,low,No Target,None
371,Normal,NaN,None,NaN,999,999,low,No Target,None
372,Critical,NaN,0.728,0.44500000000000006,999,1,low,No Target,tone2
373,Normal,NaN,None,NaN,999,999,low,No Target,None
374,Normal,NaN,None,NaN,999,999,low,No Target,None
375,Normal,NaN,None,NaN,999,999,low,No Target,None
376,Normal,NaN,None,NaN,999,999,low,No Target,None
377,Normal,1.021,None,NaN,1,999,low,Target Present,None
378,Normal,NaN,None,NaN,999,999,low,No Target,None
379,Normal,NaN,None,NaN,999,999,low,No Target,None
380,Normal,NaN,None,NaN,999,999,low,No Target,None
381,Normal,1.2229999999999999,None,NaN,1,999,low,Target Present,None
382,Normal,NaN,None,NaN,999,999,low,No Target,None
383,Normal,NaN,None,NaN,999,999,low,No Target,None
384,Normal,0.9450000000000001,None,NaN,1,999,low,Target Absent,None
385,Normal,NaN,None,NaN,999,999,low,No Target,None
386,Normal,NaN,None,NaN,999,999,low,No Target,None
387,Normal,NaN,None,NaN,999,999,low,No Target,None
388,Normal,NaN,None,NaN,999,999,low,No Target,None
389,Normal,NaN,None,NaN,999,999,low,No Target,None
390,Normal,NaN,None,NaN,999,999,low,No Target,None
391,Normal,NaN,None,NaN,999,999,low,No Target,None
392,Normal,NaN,None,NaN,999,999,low,No Target,None
393,Normal,0.956,None,NaN,1,999,low,Target Absent,None
394,Normal,NaN,None,NaN,999,999,low,No Target,None
395,Normal,NaN,None,NaN,999,999,low,No Target,None
396,Critical,NaN,0.578,NaN,999,0,low,No Target,tone4
397,Normal,NaN,None,NaN,999,999,low,No Target,None
398,Normal,NaN,None,0.006,666,666,low,No Target,None
399,Critical,NaN,0.098,0.537,999,1,low,No Target,tone1
400,Normal,NaN,None,NaN,999,999,low,No Target,None
401,Normal,NaN,None,NaN,999,999,low,No Target,None
402,Normal,NaN,None,NaN,999,999,low,No Target,None
403,Critical,NaN,0.555,0.551,999,1,low,No Target,tone1
404,Normal,NaN,None,NaN,999,999,low,No Target,None
405,Normal,NaN,None,NaN,999,999,low,No Target,None
406,Normal,NaN,None,NaN,999,999,low,No Target,None
407,Normal,NaN,None,NaN,999,999,low,No Target,None
408,Normal,NaN,None,NaN,999,999,low,No Target,None
409,Critical,NaN,0.359,1.1102236842105262,999,1,low,No Target,tone4
410,Normal,NaN,None,NaN,999,999,low,No Target,None
411,Normal,NaN,None,NaN,999,999,low,No Target,None
412,Critical,0.9630000000000001,0.287,0.47600000000000003,999,999,low,Target Present,tone3
413,Normal,NaN,None,NaN,999,999,low,No Target,None
414,Normal,NaN,None,NaN,999,999,low,No Target,None
415,Normal,NaN,None,NaN,999,999,low,No Target,None
416,Critical,NaN,0.629,0.792,999,1,low,No Target,tone1
417,Normal,NaN,None,NaN,999,999,low,No Target,None
418,Normal,NaN,None,NaN,999,999,low,No Target,None
419,Normal,NaN,None,NaN,999,999,low,No Target,None
420,Normal,NaN,None,NaN,999,999,high,No Target,None
421,Critical,NaN,0.71,0.5310000000000001,999,1,high,No Target,tone1
422,Normal,NaN,None,NaN,999,999,high,No Target,None
423,Normal,NaN,None,NaN,999,999,high,No Target,None
424,Normal,NaN,None,NaN,999,999,high,No Target,None
425,Normal,1.0990000000000002,None,1.555,666,666,high,Target Present,None
426,Normal,NaN,None,NaN,999,999,high,No Target,None
427,Normal,NaN,None,NaN,999,999,high,No Target,None
428,Critical,NaN,0.627,0.9099999999999999,999,1,high,No Target,tone4
429,Normal,NaN,None,NaN,999,999,high,No Target,None
430,Normal,NaN,None,NaN,999,999,high,No Target,None
431,Normal,0.9890000000000001,None,NaN,1,999,high,Target Absent,None
432,Normal,NaN,None,NaN,999,999,high,No Target,None
433,Normal,NaN,None,NaN,999,999,high,No Target,None
434,Critical,NaN,0.026,0.5589999999999999,999,1,high,No Target,tone3
435,Normal,NaN,None,NaN,999,999,high,No Target,None
436,Normal,NaN,None,NaN,999,999,high,No Target,None
437,Normal,NaN,None,NaN,999,999,high,No Target,None
438,Normal,NaN,None,NaN,999,999,high,No Target,None
439,Normal,NaN,None,NaN,999,999,high,No Target,None
440,Normal,0.9339999999999999,None,NaN,1,999,high,Target Absent,None
441,Normal,NaN,None,NaN,999,999,high,No Target,None
442,Normal,NaN,None,NaN,999,999,high,No Target,None
443,Normal,NaN,None,NaN,999,999,high,No Target,None
444,Normal,NaN,None,NaN,999,999,high,No Target,None
445,Critical,1.1280000000000001,0.851,0.5090000000000001,999,1,high,Target Present,tone2
446,Normal,NaN,None,NaN,999,999,high,No Target,None
447,Normal,NaN,None,NaN,999,999,high,No Target,None
448,Normal,NaN,None,NaN,999,999,high,No Target,None
