,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
470,high,No Target,Critical,NaN,0.478,tone1,NaN,999,0
471,high,No Target,Normal,NaN,None,None,NaN,999,0
472,high,No Target,Normal,NaN,None,None,NaN,999,0
473,high,No Target,Critical,NaN,0.59,tone3,0.45400000000000007,999,1
474,high,No Target,Normal,NaN,None,None,NaN,999,0
475,high,No Target,Normal,NaN,None,None,NaN,999,0
476,high,No Target,Normal,NaN,None,None,NaN,999,0
477,high,No Target,Normal,NaN,None,None,NaN,999,0
478,high,No Target,Critical,NaN,0.802,tone4,0.46399999999999997,999,1
479,high,Target Absent,Normal,0.6579999999999999,None,None,NaN,1,0
